gender,age,Status in life,Relationships,The causes of stress,sharing,best sharing,frequency,Stress you have experienced in the past and affecting you today,Stress that affected your health
1,18-28,1,1,זוגיות;מצב כלכלי;משפחה;בריאות;הרצון להגיע להישיגים,0,1;2,כל יום,לא,0
0,18-28,1,0,מצב כלכלי;לימודים,0,1,אחת לשבוע,כן במידה מועטה,0
0,18-28,1,1,מצב כלכלי;לימודים;דימוי גוף,0,1;2,אחת לחודש,לא,0
1,18-28,3,0,הפן החברתי;לימודים;הרצון להגיע להישיגים,0,1,אחת לשבוע,כן במידה מועטה,1
1,18-28,1,0,הרצון להגיע להישיגים,0,1,פעם במספר חודשים או יותר,לא,0
0,18-28,1,1,זוגיות;מצב כלכלי;לימודים;עבודה;דימוי גוף;הרצון להגיע להישיגים,0,1;2,אחת לחודש,כן במידה מועטה,0
0,18-28,1,1,זוגיות;מצב כלכלי,0,1,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,1,זוגיות;לימודים;משפחה,1,1,אחת לחודש,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;לימודים;בריאות;הרצון להגיע להישיגים,0,1;2,אחת לחודש,כן במידה מועטה,0
1,18-28,1,0,זוגיות;לימודים;עבודה,0,1,פעם במספר חודשים או יותר,לא,0
0,18-28,1,0,לימודים;עבודה;הרצון להגיע להישיגים,0,1;2,פעם במספר חודשים או יותר,לא,1
1,18-28,1,1,זוגיות;מצב כלכלי;לימודים;הרצון להגיע להישיגים,0,1,אחת לחודש,לא,0
0,18-28,1,0,לימודים;הרצון להגיע להישיגים,0,1,פעם במספר חודשים או יותר,לא,0
1,18-28,1,1,זוגיות;לימודים,0,1;2,פעם במספר חודשים או יותר,כן במידה רבה,1
1,18-28,1,1,לימודים;בריאות,0,1;2;3,אחת לחודש,כן במידה רבה,1
1,18-28,1,1,זוגיות;לימודים;הרצון להגיע להישיגים,0,1;2,פעם במספר חודשים או יותר,לא,0
0,18-28,1,1,לימודים;הרצון להגיע להישיגים,0,1,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;הפן החברתי;לימודים;עבודה;הרצון להגיע להישיגים,1,1,כל יום,כן במידה מועטה,1
0,18-28,1,1,לימודים,0,2,אחת לחודש,לא,0
1,18-28,1,0,זוגיות;מצב כלכלי;לימודים;הרצון להגיע להישיגים,0,1;2,כל יום,כן במידה רבה,0
0,18-28,1,1,לימודים;הרצון להגיע להישיגים,0,1;2;3,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;לימודים;משפחה,0,1,אחת לשבוע,כן במידה מועטה,0
1,18-28,1,1,זוגיות;הפן החברתי;לימודים;עבודה,0,1;2;3,אחת לחודש,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;לימודים;דימוי גוף;הרצון להגיע להישיגים,0,1;2;3,פעם במספר חודשים או יותר,לא,0
0,18-28,1,0,זוגיות;הפן החברתי;לימודים;דימוי גוף;הרצון להגיע להישיגים,1,1;2;3,כל יום,כן במידה רבה,1
0,18-28,1,0,זוגיות;מצב כלכלי;הפן החברתי;לימודים;עבודה;דימוי גוף;בריאות;הרצון להגיע להישיגים,0,1;3,אחת לשבוע,כן במידה רבה,1
0,18-28,1,0,מצב כלכלי;לימודים;דימוי גוף,0,1,אחת לשבוע,כן במידה רבה,0
0,18-28,1,0,לימודים;עבודה,0,2,אחת לשבוע,לא,1
0,18-28,1,0,מצב כלכלי;לימודים;הרצון להגיע להישיגים,0,1;2,פעם במספר חודשים או יותר,לא,0
0,18-28,1,1,זוגיות;מצב כלכלי;לימודים;עבודה;בריאות;הרצון להגיע להישיגים,0,2,אחת לשבוע,כן במידה מועטה,0
1,18-28,1,1,מצב כלכלי;לימודים;בריאות,0,2,פעם במספר חודשים או יותר,כן במידה מועטה,0
1,28-38,1,1,לימודים,0,2,אחת לחודש,לא,0
0,28-38,3,1,עבודה;דימוי גוף;הרצון להגיע להישיגים,1,2;3,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;לימודים;הרצון להגיע להישיגים,1,1;2,אחת לשבוע,כן במידה רבה,1
0,18-28,1,1,זוגיות;מצב כלכלי;הפן החברתי;לימודים;עבודה;דימוי גוף;משפחה;בריאות;הרצון להגיע להישיגים,0,1,כל יום,כן במידה רבה,1
0,18-28,1,0,לימודים;הרצון להגיע להישיגים,0,1;3,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;לימודים;הרצון להגיע להישיגים,0,2,אחת לשבוע,כן במידה מועטה,0
0,18-28,3,0,דימוי גוף;הרצון להגיע להישיגים,0,1;2,פעם במספר חודשים או יותר,כן במידה מועטה,0
0,18-28,1,1,זוגיות;מצב כלכלי;לימודים;עבודה;דימוי גוף;משפחה;הרצון להגיע להישיגים,0,1;2,כל יום,כן במידה מועטה,1
0,18-28,3,0,דימוי גוף;בריאות,0,1;2;3,אחת לחודש,כן במידה מועטה,1
0,18-28,1,0,מצב כלכלי;לימודים;משפחה,0,2,פעם במספר חודשים או יותר,כן במידה מועטה,0
0,18-28,2,0,זוגיות;מצב כלכלי;לימודים;דימוי גוף;משפחה;הרצון להגיע להישיגים,0,1;2,אחת לשבוע,כן במידה רבה,1
0,18-28,1,0,לימודים;עבודה;משפחה;הרצון להגיע להישיגים,0,1,אחת לשבוע,כן במידה מועטה,1
1,18-28,1,0,משפחה,0,1,פעם במספר חודשים או יותר,כן במידה מועטה,0
0,18-28,2,1,מצב כלכלי;הפן החברתי;עבודה;דימוי גוף;משפחה;בריאות;הרצון להגיע להישיגים,1,1,אחת לחודש,לא,1
0,18-28,2,1,מצב כלכלי;דימוי גוף;הרצון להגיע להישיגים,0,1;2,אחת לחודש,כן במידה מועטה,1
1,28-38,3,1,מצב כלכלי;עבודה;הרצון להגיע להישיגים,0,1;2,אחת לחודש,כן במידה מועטה,1
0,18-28,1,0,מצב כלכלי;דימוי גוף;הרצון להגיע להישיגים,0,1,אחת לשבוע,כן במידה רבה,1
0,28-38,3,1,מצב כלכלי;עבודה;משפחה;בריאות;הרצון להגיע להישיגים,0,1;2;3,אחת לשבוע,לא,1
0,18-28,1,0,זוגיות;מצב כלכלי;לימודים,0,1;2,אחת לשבוע,לא,0
0,18-28,1,1,מצב כלכלי;לימודים;עבודה;הרצון להגיע להישיגים,0,1;2,פעם במספר חודשים או יותר,כן במידה מועטה,1
0,18-28,1,0,מצב כלכלי;לימודים;עבודה;משפחה,0,1;3,אחת לשבוע,כן במידה מועטה,1
1,18-28,1,1,מצב כלכלי;לימודים;הרצון להגיע להישיגים,1,1;3,פעם במספר חודשים או יותר,כן במידה רבה,1
1,18-28,1,1,מצב כלכלי;לימודים;עבודה;דימוי גוף;הרצון להגיע להישיגים,0,1;2,כל יום,כן במידה רבה,1
1,18-28,1,1,מצב כלכלי;לימודים;עבודה,0,1;2,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;לימודים;משפחה;בריאות;הרצון להגיע להישיגים,0,1;2;3,פעם במספר חודשים או יותר,כן במידה מועטה,1
0,18-28,1,0,מצב כלכלי;לימודים,0,1;2,פעם במספר חודשים או יותר,כן במידה מועטה,0
1,18-28,1,1,מצב כלכלי;לימודים;עבודה,0,2,אחת לחודש,לא,0
1,18-28,1,1,מצב כלכלי;לימודים;עבודה,0,1;2,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,0,מצב כלכלי;לימודים;הרצון להגיע להישיגים,0,1;2,אחת לשבוע,לא,1
1,18-28,1,1,זוגיות;מצב כלכלי;הפן החברתי;הרצון להגיע להישיגים,0,1;2;3,אחת לחודש,לא,0
0,18-28,1,0,זוגיות;מצב כלכלי;הפן החברתי;לימודים;עבודה;דימוי גוף;בריאות;הרצון להגיע להישיגים,0,2,אחת לחודש,לא,0
0,18-28,1,1,לימודים;הרצון להגיע להישיגים,0,1;2,אחת לשבוע,כן במידה מועטה,1
1,18-28,1,1,מצב כלכלי;לימודים;משפחה;בריאות,0,2,פעם במספר חודשים או יותר,לא,0
0,18-28,1,1,זוגיות;מצב כלכלי;לימודים;עבודה,0,1;2,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;לימודים,0,1;2,אחת לחודש,לא,0
0,18-28,1,0,זוגיות;מצב כלכלי;לימודים;הרצון להגיע להישיגים,0,1,אחת לחודש,כן במידה מועטה,1
1,18-28,1,1,לימודים,0,1;2,פעם במספר חודשים או יותר,לא,0
0,18-28,1,0,מצב כלכלי;לימודים;משפחה;בריאות,0,2,אחת לחודש,לא,0
0,18-28,1,1,מצב כלכלי;לימודים;עבודה,0,2,כל יום,לא,1
1,18-28,3,0,זוגיות;לימודים;עבודה,0,1;2,אחת לחודש,כן במידה מועטה,0
0,18-28,1,0,זוגיות;מצב כלכלי;הפן החברתי;לימודים;דימוי גוף;משפחה;בריאות;הרצון להגיע להישיגים,0,2,אחת לחודש,לא,0
1,18-28,1,0,לימודים;הרצון להגיע להישיגים,0,2,פעם במספר חודשים או יותר,לא,0
1,18-28,1,0,מצב כלכלי;לימודים;דימוי גוף;משפחה,0,1;2;3,אחת לשבוע,כן במידה מועטה,0
0,18-28,1,0,זוגיות;מצב כלכלי;לימודים;דימוי גוף,0,1;2;3,כל יום,לא,1
0,18-28,1,0,לימודים;דימוי גוף;בריאות;הרצון להגיע להישיגים,0,1,אחת לשבוע,לא,1
1,48 ומעלה,3,1,מצב כלכלי;משפחה,0,1;3,אחת לשבוע,כן במידה רבה,0
0,18-28,1,0,זוגיות;מצב כלכלי;דימוי גוף;משפחה,0,1;2,אחת לשבוע,כן במידה מועטה,1
0,48 ומעלה,3,1,עבודה;בריאות,0,3,אחת לחודש,כן במידה מועטה,1
0,48 ומעלה,3,0,מצב כלכלי;משפחה;בריאות,0,3,פעם במספר חודשים או יותר,כן במידה מועטה,1
0,48 ומעלה,3,1,עבודה;משפחה;בריאות,0,1;3,אחת לחודש,כן במידה מועטה,1
0,48 ומעלה,3,1,מצב כלכלי;עבודה;בריאות,0,1;2,פעם במספר חודשים או יותר,לא,0
0,38-48,3,1,מצב כלכלי;בריאות,0,1,אחת לחודש,כן במידה מועטה,1
1,48 ומעלה,3,1,מצב כלכלי;עבודה;משפחה,0,1,פעם במספר חודשים או יותר,לא,1
0,48 ומעלה,3,1,מצב כלכלי;משפחה;בריאות,0,1;2,פעם במספר חודשים או יותר,לא,0
0,18-28,1,1,מצב כלכלי;לימודים;עבודה,0,2,אחת לשבוע,לא,1
0,48 ומעלה,3,1,דימוי גוף,1,4,אחת לשבוע,כן במידה מועטה,1
1,18-28,1,0,הרצון להגיע להישיגים,0,1;2,פעם במספר חודשים או יותר,לא,0
